city,creative_sectors,Famous_Landmarks,Lat,Lon,Crafts
,,Badin,24.7881281,68.87766418,"Rilhi Work, Farasi"
,,Mithi,24.736412,69.7973419,"Farasi, Carpet Making, Tobacco Pipes, Sussi, Pottery"
,,Khore Wah,24.7543297,68.4176951,Farasi
,,Karachi,24.8667795,67.0311286,"Stone Carving, Rugs/Namda, Pottery, Perfume Making, Marble, Leather Work, Khees, Tiles, Carpet Making, Ceramics, Azarband, Jewellery, Bone Carving, Ajrak"
,,Zhob,31.3412293,69.4479828,"Thread Work, Sandals/Shoes, Embroidery"
,,Qila Saifullah,30.701366,68.3597003,"Sandals/Shoes, Embroidery"
,,Loralai,30.366865,68.6000654,"Sandals/Shoes, Jewellery, Carpet Making"
,,Kohlu,29.8999977,69.2500203,"Sandals/Shoes, Carpet Making"
,,Mawand,29.65428769,68.70960024,"Sandals/Shoes, Carpet Making"
,,Ziarat,30.3810473,67.7262144,"Sandals/Shoes, Embroider, Rugs/Namda"
,,Pishin,30.580285,66.9961323,"Sandals/Shoes, Embroider, Rugs/Namda, Jewellery"
,,Chaman,30.915948,66.4631051,"Sandals/Shoes, Carpet Making, Embroidery"
,,Gulistan,30.6091,66.5789,"Embroidery, Pottery"
,,Kuchlagh,30.36359184,66.95015201,"Sandals/Shoes, Carpet Making"
,,Quetta,30.1898158,67.019087,"Sandals/Shoes, Carpet Making, Jewellery, Pottery, Rugs/Namda, Embroidery, Leather Work, Glass Work, Mirror Work, Gilum"
,,Nushki,29.550001,66.0166996,"Carpet Making, Jewellery, Embroidery, Gilum"
,,Kalat,29.0333406,66.5843344,"Wooden Products, Wool Products, Embroidery, Leather Work, Mirror Work, Perfume Making, Jewellery, Carpet Making, Azarband"
,,Dadhar,29.4880699,67.6422752,"Pottery, Embroidery, Sandals/Shoes"
,,Sibi,29.5500097,67.8833398,"Pottery, Embroidery, Sandals/Shoes, Thread Work"
,,Lahri,29.1821634,68.2103846,"Leather Work, Embroidery, Sandals/Shoes"
,,Bughti,29.0352,69.1596,"Mirror Work, Saddle Bags, Musical Instrument, Sandals/Shoes"
,,Dera Murad Jamali,28.5484368,68.220212,"Sandals/Shoes, Embroidery"
,,Mithri,29.36443529,67.81576375,"Sandals/Shoes, Pottery"
,,Bagh,30.8253544,67.7354498,"Sandals/Shoes, Pottery, Mirror Work, Embroidery"
,,Nasirabad,28.333333,68.166667,"Sandals/Shoes, Embroidery"
,,Pandran,28.75656573,66.72808486,"Sandals/Shoes, Embroidery, Wooden Products"
,,Kharan,28.5807325,65.4207071,"Sandals/Shoes, Embroidery, Wool Products, Perfume Making, Azarband, Carpet Making, Rugs/Namda"
